IBGE;Estado_Municipio;NU_IDENTIFICADOR;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estado;DataCenso;DataCenso_2020;d_30_2_Faixas_etarias;d37_9;d37_11;d37_9bin1;d37_9bin2;d37_9bin3;d37_10bin1;d37_10bin2;d37_10bin3;d37_10bin4;d37_10bin5;d37_11bin1;d37_11bin2;d37_11bin3;d37_11bin4;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras;filter_$
150680;2;1506803308526;1;256;372;265;388;06/10/2016;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
150680;2;1506803308526;0;256;238;291;388;02/01/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
150680;2;1506803308526;0;252;239;291;388;02/01/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;2,00;0,00;4,00;1,00;;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
160060;2;1600603310408;0;255;238;291;388;08/11/2019;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224;0;0;31.08.2020;31/ago/20;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;3,00;2,00;2,00;;;;;;;;6,00;6;1
160060;2;1600603310408;0;257;275;291;388;29/10/2019;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224;0;0;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;1,00;;;;;;;;1,00;1,00;3,00;2,00;2,00;;;;;;;;6,00;6;1
160060;2;1600603310408;1;257;275;291;388;14/11/2019;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224;0;0;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;1,00;;;;;;;;1,00;1,00;3,00;2,00;2,00;;;;;;;;6,00;6;1
160060;2;1600603310408;0;255;238;291;388;19/11/2019;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224;0;0;31.08.2020;31/ago/20;3,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;3,00;2,00;2,00;;;;;;;;6,00;6;1
160060;2;1600603310408;0;254;239;291;388;18/02/2018;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224;0;0;31.08.2020;31/ago/20;2,00;0,00;4,00;1,00;;;;;;;;;;;1,00;1,00;3,00;2,00;2,00;;;;;;;;6,00;6;1
160060;2;1600603310408;0;256;238;291;388;04/10/2017;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224;0;0;31.08.2020;31/ago/20;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;3,00;2,00;2,00;;;;;;;;6,00;6;1
170210;2;1702103305126;0;257;237;291;388;19/08/2015;1702109;17;1;Araguaína;150484;142925;7559;Grande;4000,416;0;0;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;;;;;;;;1,00;1,00;9,00;9,00;;2,00;;;;;;;19,00;19;1
