IBGE;Estado_Municipio;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;DataCenso;DataCenso_2020;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores;filter_$
17;1;1721003308700;0;257;236;138;254;20;22/05/2017;;17;1;;;;;;;;31.08.2020;31/ago/20;3,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;;4,00;;2,00;;;1,00;2,00;;;3,00;5;0
172120;2;1721203312241;1;257;237;138;21;18;19/02/2019;1721208;17;1;Tocantinópolis;22619;18318;4301;Pequeno II;1077,073;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;;;1,00;;;;;;1,00;;;;1;
210047;2;2100473309442;0;257;274;291;218;18;23/11/2018;2100477;21;2;Alto Alegre do Pindaré;31057;9829;21228;Pequeno II;1876,032;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;2,00;;;;1,00;1,00;;;;2,00;2;
210047;2;2100473309442;1;257;232;266;21;272;23/11/2018;2100477;21;2;Alto Alegre do Pindaré;31057;9829;21228;Pequeno II;1876,032;;31.08.2020;31/ago/20;4,00;2,00;4,00;;;1,00;;;;1,00;;;;;1,00;;;2,00;;;;1,00;1,00;;;;2,00;2;
210235;2;2102353308494;0;257;275;291;21;263;01/01/2017;2102358;21;2;Buritirana;14784;4146;10638;Pequeno I;818,424;;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;1,00;;;;;;;;1,00;;;1,00;1,00;;;;;;;;1,00;1;
210800;2;2108003308201;0;257;232;142;218;18;04/10/2017;2108009;21;2;Pastos Bons;18067;12307;5760;Pequeno I;1635,321;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;1,00;;;;;1,00;;;2,00;;;;2,00;;;;;2,00;2;
210800;2;2108003308201;0;257;232;142;21;272;01/07/2017;2108009;21;2;Pastos Bons;18067;12307;5760;Pequeno I;1635,321;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;;;1,00;;;;;1,00;;;2,00;;;;2,00;;;;;2,00;2;
210860;2;2108603308854;0;257;273;266;218;272;02/01/2020;2108603;21;2;Pinheiro;78162;46487;31675;Médio;1512,966;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;3,00;;1,00;;;1,00;;;1,00;2,00;3;
210860;2;2108603308854;0;257;237;292;21;20;02/01/2020;2108603;21;2;Pinheiro;78162;46487;31675;Médio;1512,966;;31.08.2020;31/ago/20;3,00;2,00;3,00;;;1,00;;;;;;;;1,00;;;;3,00;;1,00;;;1,00;;;1,00;2,00;3;
210860;2;2108603308854;0;257;274;266;218;18;02/01/2020;2108603;21;2;Pinheiro;78162;46487;31675;Médio;1512,966;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;3,00;;1,00;;;1,00;;;1,00;2,00;3;
210910;2;2109103310316;0;257;273;138;218;18;06/11/2020;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574;;31.08.2020;31/ago/20;2,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;;;2,00;;2,00;;;;1,00;;1,00;;2;
210910;2;2109103310316;0;257;273;292;21;18;01/02/2020;2109106;21;2;Presidente Dutra;44731;32000;12731;Pequeno II;771,574;;31.08.2020;31/ago/20;1,00;2,00;3,00;;;1,00;;1,00;;;;;;1,00;;;;2,00;;2,00;;;;1,00;;1,00;;2;
211120;2;2111203307657;0;257;273;292;21;20;04/01/2017;2111201;21;2;São José de Ribamar;163045;37709;125336;Grande;385,777;;31.08.2020;31/ago/20;4,00;2,00;3,00;;;1,00;;1,00;;;;;;1,00;;;;1,00;;1,00;;;;;;1,00;;1;
211130;2;2111303306232;0;257;274;138;218;18;10/07/2019;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827;;31.08.2020;31/ago/20;1,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;;1,00;4,00;;3,00;;;1,00;2,00;;1,00;2,00;5;
211130;2;2111303306232;0;257;273;292;21;20;02/09/2019;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827;;31.08.2020;31/ago/20;1,00;2,00;3,00;;;1,00;;1,00;;;;;;1,00;;;1,00;4,00;;3,00;;;1,00;2,00;;1,00;2,00;5;
211130;2;2111303306232;0;257;273;266;218;18;15/04/2016;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827;;31.08.2020;31/ago/20;4,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;1,00;4,00;;3,00;;;1,00;2,00;;1,00;2,00;5;
211130;2;2111303306232;0;257;273;138;218;18;02/02/2015;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827;;31.08.2020;31/ago/20;4,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;;1,00;4,00;;3,00;;;1,00;2,00;;1,00;2,00;5;
211130;2;2111303306232;1;255;238;142;372;18;02/01/2013;2111300;21;2;São Luís;1014837;958522;56315;Metrópole;834,827;;31.08.2020;31/ago/20;3,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;1,00;4,00;;3,00;;;1,00;2,00;;1,00;2,00;5;
211210;2;2112103310276;0;257;274;266;218;18;02/01/2020;2112100;21;2;Timbiras;27997;17471;10526;Pequeno II;1486,584;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;2,00;;1,00;;;1,00;;;;2,00;2;
211210;2;2112103310276;0;257;273;266;218;18;02/01/2020;2112100;21;2;Timbiras;27997;17471;10526;Pequeno II;1486,584;;31.08.2020;31/ago/20;4,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;2,00;;1,00;;;1,00;;;;2,00;2;
211220;2;2112203307751;0;257;273;292;218;18;25/02/2019;2112209;21;2;Timon;155460;135133;20327;Grande;1764,612;;31.08.2020;31/ago/20;1,00;2,00;3,00;;;1,00;;1,00;;;;;;1,00;;;;2,00;;1,00;;;1,00;;;1,00;1,00;2;
211220;2;2112203307751;0;257;274;142;21;20;02/07/2019;2112209;21;2;Timon;155460;135133;20327;Grande;1764,612;;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;2,00;;1,00;;;1,00;;;1,00;1,00;2;
