IBGE;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2021;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores
170550;1705503306371;0;257;274;138;218;18;30/09/2021;1705508;17;1;Colinas do Tocantins;30838;29607;1231;Pequeno II;843,846; ;2;31.08.2021;8/31/2021;1;2;1; ; ;1; ; ; ; ;1;1; ; ; ; ; ;2; ;1; ; ;1;2; ; ; ;2
170550;1705503306371;0;257;273;138;218;18;30/09/2021;1705508;17;1;Colinas do Tocantins;30838;29607;1231;Pequeno II;843,846; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;2; ;1; ; ;1;2; ; ; ;2
170610;1706103306579;0;257;273;266;218;18;04/01/2021;1706100;17;1;Cristalândia;7234;5924;1310;Pequeno I;1848,241; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;1; ;1; ; ; ; ; ; ;1;1
171488;1714883308556;0;257;274;266;21;20;04/01/2021;1714880;17;1;Nova Olinda;10686;7465;3221;Pequeno I;1566,184; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;2; ;1; ; ;1; ; ; ;2;2
171488;1714883308556;1;257;273;266;218;18;04/01/2021;1714880;17;1;Nova Olinda;10686;7465;3221;Pequeno I;1566,184; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;2; ;1; ; ;1; ; ; ;2;2
17;1721003308700;0;257;274;266;254;20;22/05/2017; ;17;1; ; ; ; ; ; ; ;1;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;1;1;4; ;2; ; ;1;2; ; ;4;6
17;1721003308700;0;253;239;291;349;20;18/06/2021; ;17;1; ; ; ; ; ; ; ;1;31.08.2021;8/31/2021;5;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;1;4; ;2; ; ;1;2; ; ;4;6
17;1721003308700;0;257;273;266;254;20;22/05/2017; ;17;1; ; ; ; ; ; ; ;1;31.08.2021;8/31/2021;4;2;4; ; ;1; ;1; ; ; ; ; ; ;1;1;1;4; ;2; ; ;1;2; ; ;4;6
17;1721003308700;0;257;273;138;216;20;01/01/2018; ;17;1; ; ; ; ; ; ; ;1;31.08.2021;8/31/2021;4;2;1; ; ;1; ;1; ; ; ;1; ; ; ;1;1;4; ;2; ; ;1;2; ; ;4;6
17;1721003308700;0;257;236;138;254;20;22/05/2017; ;17;1; ; ; ; ; ; ; ;1;31.08.2021;8/31/2021;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;1;1;4; ;2; ; ;1;2; ; ;4;6
