NU_IDENTIFICADOR;IBGE;IBGE7;Regiao;UF;Município;Municipio_2013;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;Q_completo;q33_3;q33_9;q33_10;q33_11;q33_12;q33_13;q33_14;q33_15_1;q33_15_2;q33_15_3;q33_5_velha;q33_14_velha;DataCenso;DataCenso_2019;q33_2_rec;Idade;Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;257;273;266;249;18;28/06/2019;2; ; ;45111529;28/06/2019;31.08.2019;8/31/2019;8/5/1983;36;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;2;257;274;266;249;18;27/05/2019;2; ; ;6680737;27/05/2019;31.08.2019;8/31/2019;2/1/1987;32;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;257;274;266;249;18;27/05/2019;2; ; ;4339523;27/05/2019;31.08.2019;8/31/2019;8/14/1989;30;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;2;256;238;138;252;20;12/02/2017;99; ; ;4400646;12/02/2017;31.08.2019;8/31/2019;11/12/1989;29;1;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;2;255;238;138;254;20;02/05/2019;99; ; ;2266656;02/05/2019;31.08.2019;8/31/2019;2/5/1968;51;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;255;238;138;254;20;28/05/2019;99; ; ;2812410;28/05/2019;31.08.2019;8/31/2019;9/21/1972;46;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;2;257;238;138;254;20;02/08/2019;1; ; ;4743601;02/08/2019;31.08.2019;8/31/2019;9/5/1953;65;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;255;239;138;254;20;16/08/2017;99; ; ;3195157;16/08/2017;31.08.2019;8/31/2019;2/15/1975;44;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;255;238;266;254;20;19/07/2017;99; ; ;5972027;19/07/2017;31.08.2019;8/31/2019;4/24/1982;37;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;257;238;266;254;20;06/03/2018;2; ; ;1439156;06/03/2018;31.08.2019;8/31/2019;10/5/1964;54;4;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;7;8;0;3;0;0;3;9;0;0;6;15
