IBGE;q_16_3;q_16_8;q_16_9;q_16_10;q_16_11;q_16_12;q_16_13;UF;Região;DataCenso;DataCenso_2018;q_16_2_rec;Idade;Faixas_etarias;d_16_8;d_16_10;d_16_8bin1;d_16_8bin2;d_16_8bin3;d_16_9bin1;d_16_9bin2;d_16_9bin3;d_16_9bin4;d_16_9bin5;d_16_10bin1;d_16_10bin2;d_16_10bin3;d_16_10bin4;d_16_8bin1_sum;d_16_8bin2_sum;d_16_8bin3_sum;d_16_9bin1_sum;d_16_9bin2_sum;d_16_9bin3_sum;d_16_9bin4_sum;d_16_9bin5_sum;d_16_10bin1_sum;d_16_10bin2_sum;d_16_10bin3_sum;d_16_10bin4_sum;nu_trabalhadores
27;1;258;237;292;249;20;04/08/2016;27;2;31.08.2018;8/31/2018;6/4/1990;28;1;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;258;235;142;253;18;06/04/2018;27;2;31.08.2018;8/31/2018;8/27/1991;27;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;255;238;138;250;18;13/09/1973;27;2;31.08.2018;8/31/2018;6/24/1953;65;5;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;256;239;142;253;18;17/11/2017;27;2;31.08.2018;8/31/2018;3/22/1996;22;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;256;238;292;250;20;18/08/2016;27;2;31.08.2018;8/31/2018;4/18/1958;60;4;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;257;237;138;249;20;11/02/1982;27;2;31.08.2018;8/31/2018;6/19/1957;61;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;257;238;138;250;20;11/02/1984;27;2;31.08.2018;8/31/2018;1/7/1953;65;5;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;258;237;292;249;20;30/01/2017;27;2;31.08.2018;8/31/2018;12/21/1957;60;4;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;258;237;138;249;20;15/01/1981;27;2;31.08.2018;8/31/2018;10/19/1961;56;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;255;238;138;250;18;11/03/1986;27;2;31.08.2018;8/31/2018;5/26/1960;58;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;6;11; ; ; ;1; ;5; ;9;3;17
