NU_IDENTIFICADOR;IBGE;IBGE7;Região;UF;Município;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;q44_3;q44_9;q44_10;q44_11;q44_12;q44_13;q44_14;q44_15_1;q44_15_2;q44_15_3;DataCenso;DataCenso_2020;q44_2_rec;Idade;Faixas_etarias;d_44_9;d_44_11;d_44_9bin1;d_44_9bin2;d_44_9bin3;d_44_10bin1;d_44_10bin2;d_44_10bin3;d_44_10bin4;d_44_10bin5;d_44_11bin1;d_44_11bin2;d_44_11bin3;d_44_11bin4;d_44_9bin1_sum;d_44_9bin2_sum;d_44_9bin3_sum;d_44_10bin1_sum;d_44_10bin2_sum;d_44_10bin3_sum;d_44_10bin4_sum;d_44_10bin5_sum;d_44_11bin1_sum;d_44_11bin2_sum;d_44_11bin3_sum;d_44_11bin4_sum;nu_trabalhadores;d_44_15_1bin_Gestão;d_44_15_1bin_PopRua;d_44_15_1bin_Abordagem;d_44_15_1bin_Cadastramento;d_44_15_1bin_Outros;d_44_15_2bin_Gestão;d_44_15_2bin_PopRua;d_44_15_2bin_Abordagem;d_44_15_2bin_Cadastramento;d_44_15_2bin_Outros;d_44_15_3bin_Gestão;d_44_15_3bin_PopRua;d_44_15_3bin_Abordagem;d_44_15_3bin_Cadastramento;d_44_15_3bin_Outros;Gestao;PopRua;Abordagem;Cadastramento;Outros;d_44_15_1bin_Gestão_sum;d_44_15_1bin_PopRua_sum;d_44_15_1bin_Abordagem_sum;d_44_15_1bin_Cadastramento_sum;d_44_15_1bin_Outros_sum;d_44_15_2bin_Gestão_sum;d_44_15_2bin_PopRua_sum;d_44_15_2bin_Abordagem_sum;d_44_15_2bin_Cadastramento_sum;d_44_15_2bin_Outros_sum;d_44_15_3bin_Gestão_sum;d_44_15_3bin_PopRua_sum;d_44_15_3bin_Abordagem_sum;d_44_15_3bin_Cadastramento_sum;d_44_15_3bin_Outros_sum
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;1;258;237;139;248;20;01/04/2020;99;1;2;31.08.2020;31-ago-2020;02-set-1961;58;4,00;2,00;2,00;;;1,00;;;;;;;1,00;;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;;;;1,00;1,00;;;;;;1,00;;;;1,00;1,00;;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;0;255;239;139;252;20;01/08/2000;99;99;1;31.08.2020;31-ago-2020;25-set-1961;58;4,00;1,00;2,00;;1,00;;;;;;;;1,00;;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;;;;1,00;;;;;1,00;1,00;;;;;1,00;;;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;1;255;239;138;254;20;03/02/2020;99;1;2;31.08.2020;31-ago-2020;25-ago-1969;51;4,00;1,00;1,00;;1,00;;;;;;;1,00;;;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;;;;1,00;1,00;;;;;;1,00;;;;1,00;1,00;;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;1;255;239;292;248;20;14/05/2020;3;2;99;31.08.2020;31-ago-2020;25-ago-1970;50;3,00;1,00;3,00;;1,00;;;;;;;;;1,00;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;;1,00;;;;1,00;;;;;;;;1,00;;1,00;1,00;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;0;258;273;138;249;18;06/01/2016;2;3;99;31.08.2020;31-ago-2020;27-mar-1970;50;3,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;1,00;;;;;;1,00;;;;;;;1,00;;1,00;1,00;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;0;254;239;138;252;20;05/03/2012;;;;31.08.2020;31-ago-2020;29-abr-1976;44;3,00;0,00;1,00;1,00;;;;;;;;1,00;;;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;;;;;;;;;;;;;;;;;;;;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;0;255;239;138;252;20;07/05/2012;99;1;2;31.08.2020;31-ago-2020;25-jul-1979;41;3,00;1,00;1,00;;1,00;;;;;;;1,00;;;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;;;;1,00;1,00;;;;;;1,00;;;;1,00;1,00;;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;0;258;237;266;248;272;07/11/2019;99;1;2;31.08.2020;31-ago-2020;10-ago-1981;39;2,00;2,00;4,00;;;1,00;;;;;;;;;1,00;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;;;;1,00;1,00;;;;;;1,00;;;;1,00;1,00;;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;1;257;237;138;251;20;02/09/2014;1;4;99;31.08.2020;31-ago-2020;15-out-1982;37;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;1,00;;;;;;;;1,00;;;;;;1,00;1,00;;;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;0;257;274;138;249;20;06/08/2018;2;3;99;31.08.2020;31-ago-2020;20-jan-1984;36;2,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;1,00;;;;;;1,00;;;;;;;1,00;;1,00;1,00;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
