IBGE;IBGE7;UF;Regiao;Município;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_Municipal;NU_IDENTIFICADOR;q_33_2;q_33_3;q_33_9;q_33_10;q_33_11;q_33_12;q_33_13;q_33_14;DataCenso;DataCenso_2018;q_33_2_rec;Idade;d_33_2_Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
150510;1505106;15;1;Óbidos;184339;49333;25466;23867;2;28021,443;1;1505103306376;13/11/1992;1;257;273;266;21;20;03/10/2017;31.08.2018;8/31/2018;11/13/1992;25;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;1;3;0;1;0;1;1;0;0;0;4;4
150510;1505106;15;1;Óbidos;184339;49333;25466;23867;2;28021,443;1;1505103306376;03/06/1988;1;257;232;266;218;20;01/09/2017;31.08.2018;8/31/2018;6/3/1988;30;2;2;4; ; ;1; ; ; ;1; ; ; ; ;1;0;1;3;0;1;0;1;1;0;0;0;4;4
150563;1505635;15;1;Piçarra;183190;12697;3581;9116;1;3312,708;1;1505633308394;10/07/1984;1;257;274;266;218;18;05/06/2015;31.08.2018;8/31/2018;7/10/1984;34;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;0;2;0;1;0;0;1;0;0;0;2;2
150563;1505635;15;1;Piçarra;183190;12697;3581;9116;1;3312,708;1;1505633308394;22/11/1985;0;257;273;266;218;18;05/06/2015;31.08.2018;8/31/2018;11/22/1985;32;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;0;2;0;1;0;0;1;0;0;0;2;2
150680;1506807;15;1;Santarém;484523;294580;215790;78790;4;17898,389;1;1506803308526;25/08/1958;1;256;237;266;216;18;01/09/2017;31.08.2018;8/31/2018;8/25/1958;60;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;2;2;0;2;0;0;1;0;0;0;4;4
150680;1506807;15;1;Santarém;484523;294580;215790;78790;4;17898,389;1;1506803308526;24/08/1960;1;256;273;142;254;272;15/09/2017;31.08.2018;8/31/2018;8/24/1960;58;4;1;4; ;1; ; ;1; ; ; ; ; ; ;1;0;2;2;0;2;0;0;1;0;0;0;4;4
150680;1506807;15;1;Santarém;484523;294580;215790;78790;4;17898,389;1;1506803308526;08/02/1973;1;257;274;266;21;18;02/01/2017;31.08.2018;8/31/2018;2/8/1973;45;3;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;2;2;0;2;0;0;1;0;0;0;4;4
150680;1506807;15;1;Santarém;484523;294580;215790;78790;4;17898,389;1;1506803308526;10/09/1974;1;257;273;266;218;18;02/01/2018;31.08.2018;8/31/2018;9/10/1974;43;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;2;2;0;2;0;0;1;0;0;0;4;4
170210;1702109;17;1;Araguaína;278707;150484;142925;7559;4;4000,416;1;1702103305126;31/01/1985;0;257;237;291;254;20;13/11/2015;31.08.2018;8/31/2018;1/31/1985;33;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;2;4;0;1;0;0;1;0;0;0;6;6
170210;1702109;17;1;Araguaína;278707;150484;142925;7559;4;4000,416;1;1702103305126;18/09/1989;1;257;274;266;218;20;17/01/2017;31.08.2018;8/31/2018;9/18/1989;28;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;2;4;0;1;0;0;1;0;0;0;6;6
